,ingredient,chemComp
0,oyster,"trans,trans-2,4-Heptadienal|dimethyl sulfoxide|3,5-Octadien-2-one|2-Heptanone|Violet leaf aldehyde|1-Octen-3-Ol|trans-2-Pentenal|Octanal|1-octanol|Thiamine Hydrochloride|Nonanal|taurine|Heptanoic Acid|Methyl Hexanoate|1-Undecanol|Dimethyl disulfide|2,3-Pentanedione|Ethyl Vinyl Ketone|2-Methyl-2-Pentenal|dimethyl sulfide|5-Methylfurfural|thiamine|3-Methyl-1-butanol|CID 644104|1-Nonanol|1-Penten-3-Ol|Propionaldehyde|propionic acid|trimethylamine"
1,t,"2,3-Dimethylpyrazine|2,5-Dimethylpyrazine|2-Ethylpyrazine|2-Ethyl-3-Methylpyrazine|2-Methylpyrazine|2,3,5-Trimethylpyrazine"
2,parmesan,"Isoamyl butyrate|Hexyl Hexanoate|Octan-2-ol|Isopentyl hexanoate|Isopropyl Hexanoate|2-Methylbutyraldehyde|Thymol|Styrene|3-methylthiopropanol|2-Methyl-1-propanol|formic acid|1-Methylnaphthalene|3-Hexanone|Hexyl benzoate|Ethyl Formate|Isobutyric Acid|2-Ethylfuran|Ethyl 3-methylpentanoate|Methyl Acetate|2-Nonanone|Pyrazine|Ethyl Pyruvate|4-Methylpentanoic Acid|L-phenylalanine|Ethyl 2-methylbutyrate|Tiglic aldehyde|1-Phenylethanol|methanethiol|Octan-2-one|1-Hexanol|1-Heptanol|Isovaleric Acid|3-Heptanone|2-Ethylbutyric Acid|1-Nonanol|2-Heptanol|Methyl propenyl ketone|alpha-TERPINEOL|trimethylamine|Ethyl caproate|Ethyl 3-(methylthio)propionate|4-Methyloctanoic acid|gamma-Decalactone|2,6-Dimethylpyrazine|Ethyl Butyrate|Mesityl Oxide|Isophorone|Hexanal|1-octanol|gamma-Caprolactone|1,2-propanediol|Heptanoic Acid|salicylic acid|guaiacol|isopropanol|Furfuryl Alcohol|Tetradecanoic acid|3-Hexanol|Butyl Formate|Dimethyl disulfide|Methyl Dodecanoate|phenol|Propyl Hexanoate|L-histidine|Methyl octanoate|Hexanoic Acid|(2E,4E)-Octa-2,4-dienal|dimethyl sulfide|Ethyl Heptanoate|Isobutyl Acetate|Phenethyl acetate|S-Methyl 3-methylbutanethioate|2,3-Diethyl-5-Methylpyrazine|Salicylaldehyde|Isobutyl propionate|Isopentyl octanoate|Isobutyraldehyde|Isoamylamine|Ethyl dodecanoate|Butylamine|2-Methylpentanoic acid|8-Nonen-2-one|Methyl tetradecanoate|4'-Methylacetophenone|2-Methylhexanoic Acid|1-Dodecanol|Pentanal|Ethyl methyl disulfide|4-Methyl-2-pentanone|2,5-Dimethylpyrazine|Undecanoic Acid|Isobornyl acetate|Methyl butyrate|Tetradecanal|1-Octen-3-Ol|3-(Methylthio)propionaldehyde|2-Phenylethanol|3-Octanone|2,6-Dimethylpyridine|Octanal|2,3-Dimethylpyrazine|Nonanal|2-Ethylhexan-1-ol|1-Undecanol|Butyl isobutyrate|Dimethyl trisulfide|Geranylacetone|L-aspartic acid|phenylacetaldehyde|Methyl isovalerate|Ethyl Benzoate|Methyl 2-methylbutyrate|1-Decanol|2-Nonanol|lauric acid|4-Hydroxybenzoic Acid|octanoic acid|5-Methylfurfural|Methyl Heptanoate|oleic acid|3-Methyl-1-butanol|Ethyl Isobutyrate|Ethyl Nonanoate|S-Methyl propanethioate|Hexyl acetate|S-Methyl thiobutyrate|Decanoic acid|L-arginine|2-Undecanone|2-Tridecanone|1-propanol|lactic acid|trans-2-Pentenal|Isoborneol|Butyl Isovalerate|indole|Methyl Hexanoate|Myrcene|Dl-Phenylalanine|Ethyl pentanoate|Isoamyl Acetate|2,3-butanedione|2-Butanone|Dodecanal|9-Decenoic acid|3-Methylvaleric acid|4-Methyl-2-oxovaleric acid|Ethyl Propionate|4-hydroxybenzaldehyde|1-butanol|delta-Tetradecalactone|delta-Octanolactone|2,3,5-Trithiahexane|2-Methyl-2-Pentenal|2-Methylbutanoic acid|3-Methyl-1-Pentanol|3,4-Dimethylphenol|1-Penten-3-Ol|Ethyl Palmitate|Linalool|Nonanoic Acid|propionic acid|S-Methyl 2-methylbutanethioate|Methyl Linoleate|3-Methylbutanal"
3,cilantro,
4,chana,
5,olive,"coumarin|Methyl Benzoate|Vanillic acid|3-Hexanone|Isoamyl Isovalerate|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|(-)-Epigallocatechin|L-Rhamnose|methanethiol|daidzein|benzaldehyde|benzyl alcohol|trans,trans-2,4-Nonadienal|alpha-L-Sorbopyranose|DL-Liquiritigenin|Phenethyl isobutyrate|phloretin|Hexanal|Linamarin|2-Methyl-1-Butanol|1-octanol|Heptanoic Acid|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Methyl octanoate|Isoeugenol|Ethyl Heptanoate|betaine|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|trans-2-Hexenal|Pentanal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|Methyl butyrate|(-)-Epicatechin gallate|2-Heptanone|1-Octen-3-Ol|2-Phenylethanol|(+)-Neomenthol|succinic acid|NSC5112|Nonanal|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|Methyl 2-methylbutyrate|thiamine|Methyl Heptanoate|3-Methyl-1-butanol|3-Phenylpropanoic acid|Propionaldehyde|Hexyl acetate|2-(4-Hydroxyphenyl)ethanol|Propyl Isobutyrate|Acrolein|(+)-delta-Cadinene|Butyl Isovalerate|indole|Tributyrin|calcium lactate|Isobutyl butyrate|Isoamyl Acetate|2,3-butanedione|isoliquiritigenin|Ethyl Propionate|Cinnamic Acid|Farnesal|Biphenyl|3,4-Dihydroxybenzaldehyde|1-Penten-3-Ol|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyl Acetate|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|2-Methyl-1-propanol|Methyl Acetate|2-Nonanone|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|Octan-2-one|1-Hexanol|1-Heptanol|CID 644104|1-Nonanol|Taxifolin|D-mannitol|indole-3-acetic acid|1-Pyrroline|2,4-dihydroxybenzoic acid|Menthone|Ethyl Butyrate|cis-Cinnamic acid|Geranyl Acetate|cis-3-Hexenyl acetate|Allyl Alcohol|Cianidanol|Methyl Valerate|dimethyl sulfide|Isobutyl Acetate|(Z)-Hex-3-en-1-ol|Propyl Propionate|naringenin|Isobutyraldehyde|1,2-Dimethoxybenzene|6-Methyl-5-Hepten-2-One|Isobutyl isobutyrate|quercetin|3-(Methylthio)propionaldehyde|3-Octanone|Octanal|Thiamine Hydrochloride|hydrogen cyanide|Benzyl Benzoate|Methyl isovalerate|Ethyl Benzoate|Oleuropein|methyl salicylate|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Neral|4-Hexen-1-Ol|Gallocatechin|3-Methyl-2-butenal|3-Pentanone|Cinchonidine|Anisole|2,4-Hexadienal|Methyl Hexanoate|Heptanal|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|p-coumaric acid|Linalool"
6,onion,"coumarin|3-Mercapto-2-methylpentanal|Methyl Benzoate|5-Hydroxymethylfurfural|Vanillic acid|1-Methylnaphthalene|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Tiglic aldehyde|L-Rhamnose|methanethiol|daidzein|Pyridine|benzaldehyde|Propenyl propyl disulfide|benzyl alcohol|227456-27-1|alpha-L-Sorbopyranose|DL-Liquiritigenin|2-Acetylpyrrole|Allyl Propyl Disulfide|phloretin|DL-Tartaric acid|resveratrol|1-Propanethiol|Hexanal|Linamarin|2-Methyl-1-Butanol|guaiacol|salicylic acid|vanillin|Dimethyl disulfide|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Dipropyl trisulfide|hydrogen peroxide|Allyl Mercaptan|Tangeretin|Isoeugenol|Disulfide, methyl 1-propenyl|betaine|Phenethyl acetate|2-Mercapto-2-Methyl-1-Pentanol|Phenylacetic Acid|Allyl Methyl Disulfide|cis-3-Hexenal|cinnamaldehyde|Allyl Methyl Trisulfide|UNII-H5E892YJGG|Sinapic Acid|Cyclopentanone|dimethyl sulfoxide|2-Isopropyl-5-methylcyclohexanone|Acetal|2-Heptanone|2-Phenylethanol|(+)-Neomenthol|2,5-Dimethylthiophene|Allyl Isothiocyanate|succinic acid|NSC5112|Dimethyl trisulfide|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|5-Methylfurfural|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|2-Undecanol|benzyl isothiocyanate|2-Tridecanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|S-Propyl thioacetate|indole|Tributyrin|2-amino-3-(prop-2-en-1-ylsulfanyl)propanoic acid|Dl-Phenylalanine|calcium lactate|2,3-butanedione|isoliquiritigenin|3-Methyl-2-Cyclopenten-1-One|Cinnamic Acid|Farnesal|2-Methylpentanal|Allyl methyl sulfide|3,4-Dihydroxybenzaldehyde|Isorhamnetin|Methyl propyl disulfide|propionic acid|Methyl propyl trisulfide|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|Styrene|3-methylthiopropanol|Ethyl Propyl Disulfide|Citral|2-Nonanone|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|2,6-Dimethoxyphenol|hydrogen sulfide|CID 644104|Taxifolin|D-mannitol|D-Isoleucine Methyl Ester Hydrochloride|indole-3-acetic acid|sulfur dioxide|Isoquercitrin|Dl-Methionine|1-Pyrroline|Menthone|Ethyl Butyrate|Tetrasulfide, dimethyl|Geranyl Acetate|2,3-Dimethylbenzofuran|cis-3-Hexenyl acetate|isopropanol|Furfuryl Alcohol|phenol|Allyl Alcohol|S-Methyl thioacetate|dimethyl sulfide|naringenin|Isobutyraldehyde|Diallyl tetrasulfide|P-Cymene|2-Isopropyl-3-Methoxypyrazine|6-Methyl-5-Hepten-2-One|2-Methyltetrahydrofuran-3-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|Allyl propyl sulfide|Ethyl Levulinate|hydrogen cyanide|Benzyl Benzoate|Diisopropyl trisulfide|2-isopropyl-6-methoxypyrazine|Diallyl Sulfide|trans-3-Hexen-1-ol|Pyruvic acid|Ethyl Acetate|(Z)-Hex-4-enal|4-Hexen-3-One|Butyl propyl disulfide|Neral|2-Furaldehyde|2-Undecanone|3-Methyl-2-butenal|3-Pentanone|Furfuryl acetate|Diallyl Disulfide|2-Furylacetone|1-propanol|33368-82-0|Heptanal|acetone|3-Methylcyclopentane-1,2-dione|2-Butanone|2-Acetyl-5-Methylfuran|D-Lactic acid|4-hydroxybenzaldehyde|Dipropyl disulfide|Diallyl trisulfide|luteolin|2-Methyl-2-Pentenal|p-coumaric acid|Acetovanillone|UNII-M41Y60O5BZ"
7,mutton,"2-Methylhexanoic Acid|(2E,4E)-Undeca-2,4-dienal|4-Methyloctanoic acid|Delta-Decalactone|Undecanoic Acid|2-Tridecanone|(2E,4E)-deca-2,4-dienal|1-propanol|trans-2-Decenal|Thiamine Hydrochloride|2,3,5,6-Tetramethylpyrazine|2,4-Hexadienal|Heptanoic Acid|isopropanol|2,3-butanedione|4-Methylpentanoic Acid|9-Decenoic acid|trans-2-Nonenal|2-Pentylpyridine|delta-Tetradecalactone|lauric acid|delta-Octanolactone|2-Acetylpyridine|23726-92-3|octanoic acid|(2E,4E)-Octa-2,4-dienal|2-Methylbutanoic acid|2-Methylheptanoic Acid|dimethyl sulfide|trans,trans-2,4-Nonadienal|3,5-Dimethyl-1,2,4-Trithiolane|thiamine|betaine|Butyl Stearate|2-Pentadecanone|CID 644104|4-Methylnonanoic acid|Ethyl Palmitate|Octane-2,3-dione|tridec-2-enal|2,4,5-Trimethylthiazole|Phenylacetic Acid|propionic acid|trimethylamine|Decanoic acid|Ethyl tetradecanoate|3-Isobutylpyridine"
8,cardamom,"coumarin|Thymol|Methyl Benzoate|Vanillic acid|AC1L9CNW|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|alpha-TERPINEOL|Farnesylacetone|Citronellol|phloretin|Sabinene|Beta-Caryophyllene|Hexanal|Linamarin|2-Methyl-1-Butanol|1-octanol|Heptanoic Acid|salicylic acid|Tetradecanoic acid|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|Nerolidol|hydrogen peroxide|Isoeugenol|(+)-alpha-Terpineol|betaine|Eucalyptol|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|Pentanal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-Heptanone|2-Phenylethanol|Terpinen-4-ol|(+)-Neomenthol|succinic acid|NSC5112|Nonanal|3-Thujene|apigenin|phenylacetaldehyde|Geranic Acid|trans-2-Hexen-1-Ol|Terpinyl propionate|lauric acid|octanoic acid|D-Camphor|thiamine|3-Methyl-1-butanol|3-Phenylpropanoic acid|Sabinene hydrate|Propionaldehyde|Myrtenal|Tridecane|(E)-gamma-Bisabolene|2-(4-Hydroxyphenyl)ethanol|Terpinyl formate|Acrolein|(+)-delta-Cadinene|Decyl Acetate|Citronellic acid|indole|Tributyrin|calcium lactate|2,3-butanedione|Citronellal|Alpha-Ionone|isoliquiritigenin|Cinnamic Acid|Farnesal|2-trans-6-cis-Dodecadienal|Acetyleugenol|Neryl acetate|3,4-Dihydroxybenzaldehyde|Piperitenone|Methyl Linoleate|propionic acid|nerol|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|6753-98-6|Citral|2-Methyl-1-propanol|palmitic acid|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Camphene|kaempferol|1-Hexanol|1-Heptanol|1,4-Cineole|Dipentene|Beta-Terpineol|Dodecyl Acetate|Borneol|CID 644104|1-Nonanol|Taxifolin|D-mannitol|Gamma-Terpinene|indole-3-acetic acid|Carvone|Heptane|Linalyl Acetate|1-Pyrroline|Perilla alcohol|Menthone|Geranyl Acetate|cis-3-Hexenyl acetate|Alpha-Phellandrene|Geranyl propionate|Allyl Alcohol|Beta-Phellandrene|Alpha-Terpinene|naringenin|Isobutyraldehyde|Alpha-Terpinyl Acetate|P-Cymene|stearic acid|6-Methyl-5-Hepten-2-One|3-(Methylthio)propionaldehyde|Octanal|hydrogen cyanide|Benzyl Benzoate|1-Decanol|Tricosane|trans-3-Hexen-1-ol|oleic acid|Ethyl Acetate|4-Hexen-3-One|Neral|1-Terpineol|(-)-Limonene|2-Furaldehyde|2-Undecanone|3-Methyl-2-butenal|3-Pentanone|D-Limonene|Phytol|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|Valencene|Neryl propionate|p-coumaric acid|Linalool|(1r,4r)-4-isopropyl-1-methylcyclohex-2-en-1-ol"
9,marmalade,Hexyl Hexanoate|cis-3-Hexenyl hexanoate|Methyl Anthranilate|Octyl acetate|Methyl 2-(methylamino)benzoate|Acetal|trans-2-Decenal|Ethyl 2-aminobenzoate|2-Phenylethanol|Terpinen-4-ol|p-Menthan-2-ol|1-Undecanol|Butyl butyrate|Methylisoeugenol|phenylacetaldehyde|Alpha-Phellandrene|Geranyl propionate|Alpha-Ionone|Ethyl Vinyl Ketone|Phenethyl benzoate|Valencene|4-isopropylbenzaldehyde|13679-86-2|D-Camphor|Borneol|Ethyl Isovalerate|1-Penten-3-Ol|P-Cresol|Myrtenal|3-Carene|trans-2-Dodecenal|trimethylamine|Alpha-Terpinyl Acetate|Ethyl 3-hydroxyhexanoate
